,nombre,marca,precio,color,talla,categoria
202,Vestido Largo con Cola,Natural by Lila,99.0,sin definir,M,largo
203,Vestido Largo Escote Cruzado,Natural by Lila,49.95,sin definir,S,largo
204,Vestido Largo Escote Cruzado,Natural by Lila,49.95,sin definir,M,largo
205,Vestido Leonor,Natural by Lila,59.95,sin definir,S,largo
206,Vestido Leonor,Natural by Lila,59.95,sin definir,M,largo
207,Vestido Maxi Lurex Drapeado,Natural by Lila,39.95,sin definir,S,largo
208,Vestido Maxi Lurex Drapeado,Natural by Lila,39.95,sin definir,M,largo
209,Vestido Maxi Tirantes Volantes,Natural by Lila,49.95,sin definir,S,largo
210,Vestido Maxi Tirantes Volantes,Natural by Lila,49.95,sin definir,M,largo
211,Vestido Midi Ceñido Leopardo,Natural by Lila,29.95,sin definir,S,largo
212,Vestido Midi Gasa Estampado Leopardo,Natural by Lila,49.95,sin definir,S,largo
213,Vestido Midi Gasa Estampado Leopardo,Natural by Lila,49.95,sin definir,L,largo
214,Vestido Midi Gasa Estampado Leopardo,Natural by Lila,49.95,sin definir,M,largo
215,Vestido Queen,Natural by Lila,139.0,sin definir,S,largo
216,Vestido Queen,Natural by Lila,139.0,sin definir,M,largo
217,Vestido Rayas,Natural by Lila,44.95,sin definir,S,largo
218,Vestido Rayas,Natural by Lila,44.95,sin definir,M,largo
219,Vestido Sofia Olive,Natural by Lila,99.0,sin definir,S,largo
220,Vestido Sofia Olive,Natural by Lila,99.0,sin definir,L,largo
221,Vestido Sofia Olive,Natural by Lila,99.0,sin definir,M,largo
222,Vestido Strapless Elástico Estampado,Natural by Lila,29.95,sin definir,S,largo
223,Vestido Strapless Elástico Estampado,Natural by Lila,29.95,sin definir,M,largo
224,Vestido Sugar,Natural by Lila,49.95,sin definir,S,largo
225,Vestido Sugar,Natural by Lila,49.95,sin definir,M,largo
226,Vestido Venezia Olive,Natural by Lila,99.0,sin definir,S,largo
227,Vestido Venezia Olive,Natural by Lila,99.0,sin definir,M,largo
228,Vestido Venezia Teja,Natural by Lila,99.0,sin definir,S,largo
229,Vestido Venezia Teja,Natural by Lila,99.0,sin definir,M,largo
230,Vestido Sofia Red,Natural by Lila,99.0,sin definir,S,largo
231,Vestido Sofia Red,Natural by Lila,99.0,sin definir,L,largo
232,Vestido Sofia Red,Natural by Lila,99.0,sin definir,M,largo
233,Vestido Raso Tipo Corsé,Natural by Lila,49.95,sin definir,S,largo
234,Vestido Raso Tipo Corsé,Natural by Lila,49.95,sin definir,M,largo
