,nombre,marca,precio,color,talla,categoria
279,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,XXL,corto
280,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,XXS,largo
281,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,XS,largo
282,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,S,largo
283,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,M,largo
284,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,L,largo
285,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,XL,largo
286,vestido largo marrón de manga larga con pespuntes en contraste de punto de vero moda,VeroModa,69.0,light brown,XXL,largo
287,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,XXS,corto
288,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,XS,corto
289,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,S,corto
290,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,M,corto
291,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,L,corto
292,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,XL,corto
293,vestido corto verde medio plisado con mangas acampanadas de vero moda,VeroModa,69.0,green,XXL,corto
294,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,XXS,corto
295,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,XS,corto
296,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,S,corto
297,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,M,corto
298,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,L,corto
299,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,XL,corto
300,vestido corto negro fruncido de punto de vero moda,VeroModa,65.0,black ,XXL,corto
301,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,XXS,largo
302,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,XS,largo
303,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,S,largo
304,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,M,largo
305,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,L,largo
306,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,XL,largo
307,vestido largo marrón de manga larga con pespuntes en contraste de punto liso de vero moda tall,VeroModa,69.0,light brown,XXL,largo
308,vestido midi verde abotonado con estampado de leopardo de vero moda,VeroModa,63.0,green,XXS,midi
