,nombre,marca,precio,color,talla,stock,categoria
275,sheer lace bodycon mini dress,Forever21,29.99,negro,L,62.0,mini
276,sheer lace bodycon mini dress,Forever21,29.99,negro,XL,49.0,mini
277,sheer lace bodycon mini dress,Forever21,29.99,granate,XS,24.0,mini
278,sheer lace bodycon mini dress,Forever21,29.99,granate,S,52.0,mini
279,sheer lace bodycon mini dress,Forever21,29.99,granate,M,45.0,mini
280,sheer lace bodycon mini dress,Forever21,29.99,granate,L,31.0,mini
281,sheer lace bodycon mini dress,Forever21,29.99,granate,XL,23.0,mini
282,foldover off-the-shoulder midi dress,Forever21,34.99,negro,XS,48.0,midi
283,foldover off-the-shoulder midi dress,Forever21,34.99,negro,S,112.0,midi
284,foldover off-the-shoulder midi dress,Forever21,34.99,negro,M,96.0,midi
285,foldover off-the-shoulder midi dress,Forever21,34.99,negro,L,64.0,midi
286,foldover off-the-shoulder midi dress,Forever21,34.99,negro,XL,48.0,midi
287,foldover off-the-shoulder midi dress,Forever21,34.99,verde,XS,30.0,midi
288,foldover off-the-shoulder midi dress,Forever21,34.99,verde,S,70.0,midi
289,foldover off-the-shoulder midi dress,Forever21,34.99,verde,M,60.0,midi
290,foldover off-the-shoulder midi dress,Forever21,34.99,verde,L,40.0,midi
291,foldover off-the-shoulder midi dress,Forever21,34.99,verde,XL,30.0,midi
292,sheer square-neck mini dress,Forever21,29.99,negro,XS,63.0,mini
293,sheer square-neck mini dress,Forever21,29.99,negro,S,147.0,mini
294,sheer square-neck mini dress,Forever21,29.99,negro,M,126.0,mini
295,sheer square-neck mini dress,Forever21,29.99,negro,L,84.0,mini
296,sheer square-neck mini dress,Forever21,29.99,negro,XL,63.0,mini
297,sheer square-neck mini dress,Forever21,29.99,granate,XS,23.0,mini
298,sheer square-neck mini dress,Forever21,29.99,granate,S,56.0,mini
299,sheer square-neck mini dress,Forever21,29.99,granate,M,48.0,mini
300,sheer square-neck mini dress,Forever21,29.99,granate,L,32.0,mini
301,sheer square-neck mini dress,Forever21,29.99,granate,XL,24.0,mini
302,satin sash mini tube dress,Forever21,39.99,negro,XS,38.0,mini
303,satin sash mini tube dress,Forever21,39.99,negro,S,90.0,mini
304,satin sash mini tube dress,Forever21,39.99,negro,M,77.0,mini
305,satin sash mini tube dress,Forever21,39.99,negro,L,52.0,mini
306,satin sash mini tube dress,Forever21,39.99,negro,XL,39.0,mini
307,satin sash mini tube dress,Forever21,39.99,rojo,XS,21.0,mini
308,satin sash mini tube dress,Forever21,39.99,rojo,S,55.0,mini
309,satin sash mini tube dress,Forever21,39.99,rojo,M,46.0,mini
310,satin sash mini tube dress,Forever21,39.99,rojo,L,32.0,mini
311,satin sash mini tube dress,Forever21,39.99,rojo,XL,24.0,mini
312,sleeveless blazer mini dress,Forever21,44.99,negro,XS,48.0,mini
313,sleeveless blazer mini dress,Forever21,44.99,negro,S,112.0,mini
314,sleeveless blazer mini dress,Forever21,44.99,negro,M,96.0,mini
315,sleeveless blazer mini dress,Forever21,44.99,negro,L,63.0,mini
316,sleeveless blazer mini dress,Forever21,44.99,negro,XL,48.0,mini
317,velvet blazer mini dress,Forever21,54.99,negro,XS,41.0,mini
318,velvet blazer mini dress,Forever21,54.99,negro,S,98.0,mini
319,velvet blazer mini dress,Forever21,54.99,negro,M,82.0,mini
320,velvet blazer mini dress,Forever21,54.99,negro,L,55.0,mini
321,velvet blazer mini dress,Forever21,54.99,negro,XL,40.0,mini
322,strapless wide-leg jumpsuit,Forever21,54.99,negro,XS,29.0,
323,strapless wide-leg jumpsuit,Forever21,54.99,negro,S,70.0,
324,strapless wide-leg jumpsuit,Forever21,54.99,negro,M,60.0,
325,strapless wide-leg jumpsuit,Forever21,54.99,negro,L,38.0,
326,strapless wide-leg jumpsuit,Forever21,54.99,negro,XL,30.0,
327,twist-front cutout mini dress,Forever21,34.99,negro,XS,39.0,mini
328,twist-front cutout mini dress,Forever21,34.99,negro,S,90.0,mini
329,twist-front cutout mini dress,Forever21,34.99,negro,M,78.0,mini
330,twist-front cutout mini dress,Forever21,34.99,negro,L,52.0,mini
331,twist-front cutout mini dress,Forever21,34.99,negro,XL,38.0,mini
332,contour sculpt rhinestone mini dress,Forever21,39.99,negro,XS,30.0,mini
333,contour sculpt rhinestone mini dress,Forever21,39.99,negro,S,70.0,mini
334,contour sculpt rhinestone mini dress,Forever21,39.99,negro,M,60.0,mini
335,contour sculpt rhinestone mini dress,Forever21,39.99,negro,L,40.0,mini
336,contour sculpt rhinestone mini dress,Forever21,39.99,negro,XL,30.0,mini
337,plus size sweetheart mini tube dress,Forever21,29.99,negro,0X,34.0,mini
338,plus size sweetheart mini tube dress,Forever21,29.99,negro,1X,51.0,mini
339,plus size sweetheart mini tube dress,Forever21,29.99,negro,2X,50.0,mini
340,plus size sweetheart mini tube dress,Forever21,29.99,negro,3X,51.0,mini
341,plus size sweetheart mini tube dress,Forever21,29.99,negro,4X,17.0,mini
342,plus size faux gem midi sweater dress,Forever21,44.99,beige,0X,30.0,midi
343,plus size faux gem midi sweater dress,Forever21,44.99,beige,1X,45.0,midi
344,plus size faux gem midi sweater dress,Forever21,44.99,beige,2X,45.0,midi
345,plus size faux gem midi sweater dress,Forever21,44.99,beige,3X,45.0,midi
346,plus size faux gem midi sweater dress,Forever21,44.99,beige,4X,15.0,midi
347,plus size faux gem midi sweater dress,Forever21,44.99,negro,0X,33.0,midi
348,plus size faux gem midi sweater dress,Forever21,44.99,negro,1X,51.0,midi
